instance_key,k,m0_db_cost,m0_energy,m1_db_cost,m1_energy,m2_db_cost,m2_energy
TREE_graph__60relations__43,5,115201942300579096383434340561508222828456823331766362837735154299375550726144,10113287.795100592,5581792765520235862672422212555579302383134303235896892692038984095480821483004633499106571840319916362359443197788160,10032474.507300487,115201942300579096383434340561508222828456823331766362837735154299375550726144,4585947.697501924
TREE_graph__60relations__33,1,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,4625333.453400757
TREE_graph__60relations__33,2,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,116523020971450609263592835060201490037902935929136486532878623076996838384309179582310217800277881903403304545664630784,10692272.193600075,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,4625333.453400757
TREE_graph__60relations__33,3,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,116523020971450609263592835060201490037902935929136486532878623076996838384309179582310217800277881903403304545664630784,10692272.193600075,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,4625333.453400757
TREE_graph__60relations__33,4,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,116523020971450609263592835060201490037902935929136486532878623076996838384309179582310217800277881903403304545664630784,10692164.149800066,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,4625333.453400757
TREE_graph__60relations__33,5,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,10883442.345800078,116523020971450609263592835060201490037902935929136486532878623076996838384309179582310217800277881903403304545664630784,10688297.879900068,8709621546547733035506901451400195063344738995378803093992920589462588053934225264615988565901312,4625333.453400757
TREE_graph__60relations__49,1,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075
TREE_graph__60relations__49,2,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,6818939389878037810502885904205078574365665521142929866645855252884275841477851668697414483123217690591429132288,10766645.501600375,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075
TREE_graph__60relations__49,3,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,6818939389878037810502885904205078574365665521142929866645855252884275841477851668697414483123217690591429132288,10761259.679200236,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075
TREE_graph__60relations__49,4,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,6818939389878037810502885904205078574365665521142929866645855252884275841477851668697414483123217690591429132288,10760620.133200262,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075
TREE_graph__60relations__49,5,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,10847860.464400228,6818939389878037810502885904205078574365665521142929866645855252884275841477851668697414483123217690591429132288,10760620.133200262,427259990307748755731036812293203959507536025232065486749756450440468364255518150621140885831861226605569167674072770930696457227014766592,4465270.950600075
TREE_graph__60relations__41,1,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,4554095.99680042
TREE_graph__60relations__41,2,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,23444455958414969061053613192333835711892404392871498612840097890372005741148272263441964386109018341376,10429842.40489948,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,4554095.99680042
TREE_graph__60relations__41,3,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,241994899745223917337976800440206389971846343047111313398960132989286172843375329609865299492864,10334854.323799448,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,4554095.99680042
TREE_graph__60relations__41,4,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,241994899745223917337976800440206389971846343047111313398960132989286172843375329609865299492864,10334854.323799448,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,4554095.99680042
TREE_graph__60relations__41,5,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,10446507.72799944,241994899745223917337976800440206389971846343047111313398960132989286172843375329609865299492864,10334854.323799448,5491688126833888963173727331432371345754323787968411532155722087704292914060201150595133865984,4554095.99680042
TREE_graph__60relations__0,1,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,4530334.697403973
TREE_graph__60relations__0,2,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10079503.83520069,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,4530334.697403973
TREE_graph__60relations__0,3,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,8154038233935689609417874737125877967303861778908939357927806532224486705786817292892358110788722884608,10054334.865600733,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,4530334.697403973
TREE_graph__60relations__0,4,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,10084890.452400666,8154038233935689609417874737125877967303861778908939357927806532224486705786817292892358110788722884608,10054334.865600733,185074688589775589738316933405330826647367700522133180200240476180280140790292878740851766885732585570304,4530334.697403973
